Samples: 10000, Batch size: 32, Epochs: 500, Noise: 10 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_1.npy
Target Data: data/new/multiple_dipoles_locations_10000_1.npy
--------------------------------------------------------------
 Target: tensor([0.3282, 0.5396, 0.3016, 0.3750]) 
Predicted: tensor([0.3132, 0.5300, 0.2975, 0.5526], grad_fn=<SelectBackward0>) 

Epoch   63/ 499 | Train: 0.004593 | Test: 0.004212 
Epoch  201/ 499 | Train: 0.003400 | Test: 0.003846 
Epoch   64/ 499 | Train: 0.004636 | Test: 0.004308 
Epoch  202/ 499 | Train: 0.003400 | Test: 0.003842 
Epoch   65/ 499 | Train: 0.004616 | Test: 0.004149 
Epoch  203/ 499 | Train: 0.003398 | Test: 0.003861 
Epoch   66/ 499 | Train: 0.004601 | Test: 0.004374 
Epoch  204/ 499 | Train: 0.003397 | Test: 0.003843 
Epoch   67/ 499 | Train: 0.004616 | Test: 0.004424 
Epoch  205/ 499 | Train: 0.003397 | Test: 0.003843 
Epoch   68/ 499 | Train: 0.004598 | Test: 0.004198 
Epoch  206/ 499 | Train: 0.003397 | Test: 0.003838 
Epoch   69/ 499 | Train: 0.004548 | Test: 0.004169 
Epoch  207/ 499 | Train: 0.003396 | Test: 0.003841 
Epoch   70/ 499 | Train: 0.004512 | Test: 0.004082 
Epoch  208/ 499 | Train: 0.003390 | Test: 0.003851 
Epoch   71/ 499 | Train: 0.004501 | Test: 0.004628 
Epoch  209/ 499 | Train: 0.003394 | Test: 0.003840 
Epoch   72/ 499 | Train: 0.004486 | Test: 0.004188 
Epoch  210/ 499 | Train: 0.003391 | Test: 0.003854 
Epoch   73/ 499 | Train: 0.004484 | Test: 0.004225 
Epoch  211/ 499 | Train: 0.003388 | Test: 0.003843 
Epoch   74/ 499 | Train: 0.004407 | Test: 0.004049 
Epoch  212/ 499 | Train: 0.003391 | Test: 0.003849 
Epoch   75/ 499 | Train: 0.004466 | Test: 0.004401 
Epoch  213/ 499 | Train: 0.003391 | Test: 0.003848 
Epoch   76/ 499 | Train: 0.004478 | Test: 0.004240 
Epoch  214/ 499 | Train: 0.003381 | Test: 0.003841 
Epoch   77/ 499 | Train: 0.004384 | Test: 0.004207 
Epoch  215/ 499 | Train: 0.003381 | Test: 0.003841 
Epoch   78/ 499 | Train: 0.004394 | Test: 0.004063 
Epoch  216/ 499 | Train: 0.003381 | Test: 0.003841 
Epoch   79/ 499 | Train: 0.004363 | Test: 0.004333 
Epoch  217/ 499 | Train: 0.003381 | Test: 0.003843 
Epoch   80/ 499 | Train: 0.004349 | Test: 0.004123 
Epoch  218/ 499 | Train: 0.003380 | Test: 0.003843 
Epoch   81/ 499 | Train: 0.004337 | Test: 0.004473 
Epoch  219/ 499 | Train: 0.003380 | Test: 0.003845 
Epoch   82/ 499 | Train: 0.004290 | Test: 0.004128 
Epoch  220/ 499 | Train: 0.003380 | Test: 0.003843 
