Samples: 10000, Batch size: 32, Epochs: 500, Noise: 5 %
Learning rate: 0.1, Momentum: 0.0001, Weight decay: 1e-05 %
 

Eeg Data: data/new/multiple_dipoles_eeg_10000_2.npy
Target Data: data/new/multiple_dipoles_locations_10000_2.npy
--------------------------------------------------------------
Epoch    0/ 499 | Train: 0.060324 | Test: 0.045553 

 Target: tensor([0.4351, 0.2372, 0.4562, 0.0231, 0.2249, 0.4135, 0.5371, 0.0231]) 
Predicted: tensor([0.4273, 0.4538, 0.5038, 0.2180, 0.4301, 0.4515, 0.4204, 0.2194],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.8092, 0.7647, 0.5629, 0.0730, 0.1909, 0.2333, 0.6115, 0.0730]) 
Predicted: tensor([0.4285, 0.4634, 0.5106, 0.2350, 0.4410, 0.4599, 0.4323, 0.2340],
       grad_fn=<SelectBackward0>) 

 Target: tensor([0.4237, 0.7317, 0.8553, 0.2388, 0.1628, 0.6739, 0.6380, 0.2388]) 
Predicted: tensor([0.4617, 0.4603, 0.5178, 0.4174, 0.4364, 0.4799, 0.4893, 0.4305],
       grad_fn=<SelectBackward0>) 

Epoch  205/ 499 | Train: 0.024312 | Test: 0.025146 
Epoch  206/ 499 | Train: 0.024311 | Test: 0.025145 
Epoch  207/ 499 | Train: 0.024311 | Test: 0.025146 
Epoch  208/ 499 | Train: 0.024310 | Test: 0.025145 
Epoch  209/ 499 | Train: 0.024311 | Test: 0.025145 
Epoch  210/ 499 | Train: 0.024310 | Test: 0.025145 
Epoch  211/ 499 | Train: 0.024310 | Test: 0.025146 
Epoch  212/ 499 | Train: 0.024310 | Test: 0.025145 
Epoch  213/ 499 | Train: 0.024309 | Test: 0.025145 
Epoch  214/ 499 | Train: 0.024309 | Test: 0.025145 
Epoch  215/ 499 | Train: 0.024309 | Test: 0.025145 
Epoch  216/ 499 | Train: 0.024309 | Test: 0.025145 
Epoch  217/ 499 | Train: 0.024308 | Test: 0.025145 
Epoch  218/ 499 | Train: 0.024308 | Test: 0.025145 
Epoch  219/ 499 | Train: 0.024308 | Test: 0.025145 
Epoch  220/ 499 | Train: 0.024308 | Test: 0.025145 
Epoch  221/ 499 | Train: 0.024308 | Test: 0.025145 
Epoch  222/ 499 | Train: 0.024307 | Test: 0.025145 
Epoch  223/ 499 | Train: 0.024307 | Test: 0.025146 
Epoch  224/ 499 | Train: 0.024304 | Test: 0.025146 
Epoch  225/ 499 | Train: 0.024304 | Test: 0.025146 
Epoch  226/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  227/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  228/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  229/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  230/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  231/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  232/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  233/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  234/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  235/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  236/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  237/ 499 | Train: 0.024304 | Test: 0.025145 
Epoch  238/ 499 | Train: 0.024304 | Test: 0.025145 
